Gene	MutSig(Q-value)	# Mut	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
EFR3B		1	1	1049	<0.1%	No
C8ORF33		2	2	1049	0.2%	No
WNK2		1	1	1049	<0.1%	No
POGK		2	2	1049	0.2%	No
CPA2		1	1	1049	<0.1%	No
USP28		1	1	1049	<0.1%	No
CPA1		1	1	1049	<0.1%	No
GH1		1	1	1049	<0.1%	No
DHX37		1	1	1049	<0.1%	No
GGT5		1	1	1049	<0.1%	No
LILRB5		1	1	1049	<0.1%	No
ODF3		1	1	1049	<0.1%	No
CRIPAK		4	3	1049	0.3%	No
UBXN11		2	2	1049	0.2%	No
CPS1		1	1	196	0.5%	Yes
TCF25		1	1	1049	<0.1%	No
DIP2C		2	2	1049	0.2%	No
MAST1		1	1	1049	<0.1%	No
SORCS3		1	1	1049	<0.1%	No
PTEN		40	26	1021	2.5%	Yes
HCN3		1	1	1049	<0.1%	No
CALCOCO1		2	1	1049	<0.1%	No
NPL		1	1	1049	<0.1%	No
PAIP2B		1	1	1049	<0.1%	No
ZBTB4		1	1	1049	<0.1%	No
PTCH1		23	23	1021	2.3%	Yes
IL17RE		1	1	1049	<0.1%	No
CDCA2		1	1	1049	<0.1%	No
DTD2		1	1	1049	<0.1%	No
CREB1		1	1	1049	<0.1%	Yes
CRAT		1	1	1049	<0.1%	No
PAK1IP1		1	1	1049	<0.1%	No
EPB41L5		1	1	1049	<0.1%	No
CR1		1	1	1049	<0.1%	No
USP29		3	3	1049	0.3%	No
CPT1B		1	1	1049	<0.1%	No
LINC01599		1	1	1049	<0.1%	No
FAM174C		2	1	1049	<0.1%	No
HERC6		1	1	1049	<0.1%	No
MIR1-1HG		2	2	1049	0.2%	No
ASCC3		1	1	1049	<0.1%	No
OR9Q1		1	1	1049	<0.1%	No
CRHR2		1	1	1049	<0.1%	No
EIF2A		1	1	1049	<0.1%	No
RASL11A		1	1	1049	<0.1%	No
CRHR1		1	1	1049	<0.1%	No
GPAM		1	1	1049	<0.1%	No
MGAT5B		1	1	1049	<0.1%	No
SLC26A11		1	1	1049	<0.1%	No
CREBBP	3.135e-7	113	98	998	9.8%	Yes
EARS2		1	1	1049	<0.1%	No
PRPF39		1	1	1049	<0.1%	No
PTH1R		1	1	1049	<0.1%	No
COPS6		1	1	1049	<0.1%	No
GCN1		1	1	1049	<0.1%	No
ZNF22-AS1		1	1	1049	<0.1%	No
SNW1		1	1	1049	<0.1%	No
HK3		1	1	1049	<0.1%	No
TTC34		1	1	1049	<0.1%	No
MARCHF8		1	1	1049	<0.1%	No
RAB18		1	1	1049	<0.1%	No
ZBTB26		1	1	1049	<0.1%	No
CRKL		2	1	1021	<0.1%	Yes
PNRC1		4	4	995	0.4%	Yes
ZNF445		1	1	1049	<0.1%	No
PTK6		2	1	1049	<0.1%	Yes
BTG3		1	1	1049	<0.1%	No
TOM1L2		2	2	1049	0.2%	No
TNRC6C		1	1	1049	<0.1%	No
TMPRSS11F		1	1	1049	<0.1%	No
HLA-DMA		1	1	1049	<0.1%	No
HLA-C		4	3	723	0.4%	Yes
HLA-B		6	6	739	0.8%	Yes
RAB40B		1	1	1049	<0.1%	No
HLA-A		8	8	967	0.8%	Yes
CCDC88C		1	1	1049	<0.1%	No
TRMT12		5	3	1049	0.3%	No
FANCM		30	29	897	3.2%	No
UNC5A		2	2	1049	0.2%	No
MSH2		7	7	1021	0.7%	Yes
MSH3		2	2	212	0.9%	Yes
PTPN9		1	1	1049	<0.1%	No
PTPN11		17	17	1021	1.7%	Yes
DDX31		2	2	1049	0.2%	No
PTPN14		1	1	1049	<0.1%	No
HLA-DRB1		4	4	1049	0.4%	No
HLA-DQB1		3	3	1049	0.3%	No
ARFRP1		1	1	923	0.1%	Yes
ZNF501		1	1	1049	<0.1%	No
HLA-DPB1		2	1	1049	<0.1%	No
PCDH18		1	1	1049	<0.1%	No
WWC3		1	1	1049	<0.1%	No
OTP		1	1	1049	<0.1%	No
PTPN4		2	2	1049	0.2%	No
AGMAT		1	1	1049	<0.1%	No
EHMT1		1	1	1049	<0.1%	No
PTPN7		1	1	1049	<0.1%	No
ATP5MC3		2	1	1049	<0.1%	No
CHCHD10		1	1	1049	<0.1%	No
YAF2		1	1	1049	<0.1%	No
TRIM24		1	1	196	0.5%	Yes
PTPRG		1	1	1049	<0.1%	No
PTPRH		3	3	1049	0.3%	No
INPP4B		15	13	824	1.6%	Yes
PTPRJ		3	3	1049	0.3%	No
PTPRK		1	1	1049	<0.1%	Yes
TOB1		1	1	1049	<0.1%	No
RGSL1		1	1	1049	<0.1%	No
NUTM2G		2	2	1049	0.2%	No
ABCB10		1	1	1049	<0.1%	No
HLA-DRB5		1	1	1049	<0.1%	No
SF3B3		1	1	1049	<0.1%	No
PALM2AKAP2		1	1	1049	<0.1%	No
SF3B1	1.724e-2	34	32	998	3.2%	Yes
AKAP9		1	1	1049	<0.1%	No
PTPRD		30	27	844	3.2%	Yes
ADGRG2		1	1	1049	<0.1%	No
DCAF5		1	1	1049	<0.1%	No
PWWP2B		1	1	1049	<0.1%	No
GPR152		1	1	1049	<0.1%	No
ASXL3		1	1	1049	<0.1%	No
ACTR10		1	1	1049	<0.1%	No
RNASE13		2	2	1049	0.2%	No
KDM8		1	1	1049	<0.1%	No
EEPD1		1	1	1049	<0.1%	No
GEMIN6		1	1	1049	<0.1%	No
ATP6AP1		1	1	1049	<0.1%	Yes
PTPRN		1	1	1049	<0.1%	No
SHLD2		1	1	1049	<0.1%	No
EXOC6		1	1	1049	<0.1%	No
FGF16		1	1	1049	<0.1%	No
RAD50		22	22	998	2.2%	Yes
CCDC102B		1	1	1049	<0.1%	No
IQGAP1		2	2	1049	0.2%	No
GPR156		1	1	1049	<0.1%	No
ATP1B4		1	1	1049	<0.1%	No
MST1		1	1	263	0.4%	Yes
MST1R		22	21	793	2.6%	Yes
XPNPEP2		2	2	1049	0.2%	No
XPNPEP1		1	1	1049	<0.1%	No
TPSD1		1	1	1049	<0.1%	No
KRT25		1	1	1049	<0.1%	No
STPG3		1	1	1049	<0.1%	No
FRY		1	1	1049	<0.1%	No
ATP7B		2	2	1049	0.2%	No
LRPPRC		1	1	1049	<0.1%	No
ASH1L		1	1	1049	<0.1%	No
MTMR12		1	1	1049	<0.1%	No
ATR		9	9	1021	0.9%	Yes
ATRX		13	13	998	1.3%	Yes
KIF1A		2	2	1049	0.2%	No
SDK2		2	2	1049	0.2%	No
ACTR1B		1	1	1049	<0.1%	No
RNF32		1	1	1049	<0.1%	No
OTUD6A		1	1	1049	<0.1%	No
METTL8		1	1	1049	<0.1%	No
CCN6		2	2	900	0.2%	Yes
DICER1		5	5	821	0.6%	Yes
ITIH6		2	2	1049	0.2%	No
ASAP2		1	1	1049	<0.1%	No
MT1H		2	2	1049	0.2%	No
C6ORF132		1	1	1049	<0.1%	No
HMX2		1	1	1049	<0.1%	No
TAS1R2		2	2	1049	0.2%	No
ATP13A2		1	1	1049	<0.1%	No
FBXO46		1	1	1049	<0.1%	No
NOTUM		1	1	1049	<0.1%	No
AXL		9	9	998	0.9%	Yes
XRCC2		4	4	793	0.5%	Yes
XRCC1		1	1	1049	<0.1%	No
XRCC3		6	6	897	0.7%	No
FOXA2		1	1	1049	<0.1%	No
KCNH3		1	1	1049	<0.1%	No
PER2		1	1	1049	<0.1%	No
DOK7		1	1	1049	<0.1%	No
KCNH4		2	2	1049	0.2%	No
ZNF395		1	1	1049	<0.1%	No
AZGP1		1	1	1049	<0.1%	No
GPAT2		3	2	1049	0.2%	No
MT1M		1	1	1049	<0.1%	No
FCGBP		5	4	1049	0.4%	No
MFSD13A		1	1	1049	<0.1%	No
NR1I2		1	1	1049	<0.1%	No
NADK		1	1	1049	<0.1%	Yes
EML5		1	1	1049	<0.1%	No
HNRNPH2		1	1	1049	<0.1%	No
GOLGA6L10		1	1	1049	<0.1%	No
ZNF783		2	2	1049	0.2%	No
BACH1		7	7	900	0.8%	No
IL17REL		1	1	1049	<0.1%	No
ADGRB1		1	1	1049	<0.1%	No
UGT1A7		1	1	1049	<0.1%	No
THSD4		1	1	1049	<0.1%	No
ZFP36		1	1	1049	<0.1%	No
RPS15		1	1	1049	<0.1%	No
PITPNM2		1	1	1049	<0.1%	No
SLAIN2		1	1	1049	<0.1%	No
LGALS9B		1	1	1049	<0.1%	No
HNRNPK		1	1	1049	<0.1%	No
FUBP1		2	2	821	0.2%	Yes
ZNF3		1	1	1049	<0.1%	No
ZNF10		1	1	1049	<0.1%	No
SLC5A6		1	1	1049	<0.1%	No
OR10G4		1	1	1049	<0.1%	No
LRRC69		1	1	1049	<0.1%	No
TLX2		1	1	1049	<0.1%	No
BARD1		28	28	998	2.8%	Yes
BBS1		1	1	1049	<0.1%	No
GNB1L		1	1	1049	<0.1%	No
GRIP2		1	1	1049	<0.1%	No
BORA		1	1	1049	<0.1%	No
SGPL1		1	1	1049	<0.1%	No
SHROOM3		2	2	1049	0.2%	No
FAM83C		1	1	1049	<0.1%	No
ZIC2		1	1	1049	<0.1%	No
TSHZ3		1	1	1049	<0.1%	No
UST		1	1	1049	<0.1%	No
RPS26		1	1	1049	<0.1%	No
ZNF16		1	1	1049	<0.1%	No
DRAXIN		1	1	1049	<0.1%	No
CCND1		10	10	1021	1.0%	Yes
BCL2A1		1	1	746	0.1%	No
TSPAN5		1	1	1049	<0.1%	No
MCM3AP		1	1	1049	<0.1%	No
RRM1		1	1	1049	<0.1%	No
DLEU7		1	1	1049	<0.1%	No
ARL17B		1	1	1049	<0.1%	No
C2ORF72		1	1	1049	<0.1%	No
BRMS1L		2	2	1049	0.2%	No
MON1A		1	1	1049	<0.1%	No
RRBP1		1	1	1049	<0.1%	No
ZNF20		1	1	1049	<0.1%	No
MRPL45		3	3	1049	0.3%	No
C7ORF50		1	1	1049	<0.1%	No
RTN1		1	1	1049	<0.1%	No
MUC12		6	6	1049	0.6%	No
ZNF35		3	3	1049	0.3%	No
RXRA		1	1	209	0.5%	Yes
SNUPN		1	1	1049	<0.1%	No
HUWE1		3	3	1049	0.3%	No
MED13L		1	1	1049	<0.1%	No
CFAP53		1	1	1049	<0.1%	No
SRGAP2		1	1	1049	<0.1%	No
AHCYL2		2	2	1049	0.2%	No
AMOTL2		1	1	1049	<0.1%	No
TSPAN32		1	1	1049	<0.1%	No
PRKAG2		1	1	1049	<0.1%	No
ATP9A		1	1	1049	<0.1%	No
SNX9		1	1	1049	<0.1%	No
GFM2		1	1	1049	<0.1%	No
DDX41		1	1	1049	<0.1%	Yes
RYR3		5	5	1049	0.5%	No
RYR2		1	1	1049	<0.1%	No
CDKL4		1	1	1049	<0.1%	No
USH1C		1	1	1049	<0.1%	No
EID2		1	1	1049	<0.1%	No
RYR1		2	2	1049	0.2%	No
SPATA21		1	1	1049	<0.1%	No
LMOD2		1	1	1049	<0.1%	No
RYK		1	1	1049	<0.1%	No
TSKS		1	1	1049	<0.1%	No
SCARA3		1	1	1049	<0.1%	No
ZNF827		2	2	1049	0.2%	No
NLRC3		2	2	1049	0.2%	No
ARHGEF12		1	1	196	0.5%	Yes
LARP1		1	1	1049	<0.1%	No
PUM2		1	1	1049	<0.1%	No
OBSL1		2	2	1049	0.2%	No
ABCC5		1	1	1049	<0.1%	No
ABCB6		1	1	1049	<0.1%	No
LRRC72		1	1	1049	<0.1%	No
SAA2		1	1	1049	<0.1%	No
NR1H3		2	2	1049	0.2%	No
ABCF2		1	1	1049	<0.1%	No
PARP12		1	1	1049	<0.1%	No
COX17		1	1	1049	<0.1%	No
GARIN3		1	1	1049	<0.1%	No
ICE1		1	1	1049	<0.1%	No
ARHGEF18		1	1	1049	<0.1%	No
FOXJ2		1	1	1049	<0.1%	No
CRTC1		3	3	1049	0.3%	Yes
SPATA7		1	1	1049	<0.1%	No
ADCY10		1	1	1049	<0.1%	No
TRIP10		1	1	1049	<0.1%	No
TRIP12		1	1	1049	<0.1%	No
CCDC14		1	1	1049	<0.1%	No
SYNE1		4	4	1049	0.4%	No
SAFB		1	1	1049	<0.1%	No
TRIP13		2	2	1049	0.2%	Yes
ASB6		1	1	1049	<0.1%	No
PARP3		5	5	897	0.6%	Yes
PARP2		5	5	897	0.6%	Yes
MICAL1		1	1	1049	<0.1%	No
GTF3C3		2	2	1049	0.2%	No
USP24		1	1	1049	<0.1%	No
UBR4		2	2	1049	0.2%	No
DHX29		1	1	1049	<0.1%	No
HOOK3		1	1	1049	<0.1%	Yes
NR4A3		2	1	196	0.5%	Yes
EFTUD2		1	1	1049	<0.1%	No
RALY		2	2	1049	0.2%	No
YLPM1		1	1	1049	<0.1%	No
ARHGAP21		1	1	1049	<0.1%	No
CTNNBL1		2	2	1049	0.2%	No
GJA3		1	1	1049	<0.1%	No
MORF4L1		1	1	1049	<0.1%	No
USHBP1		1	1	1049	<0.1%	No
GOLGA6L1		1	1	1049	<0.1%	No
SERTAD4		1	1	1049	<0.1%	No
DHX30		1	1	1049	<0.1%	No
GJB5		1	1	1049	<0.1%	No
GJA8		1	1	1049	<0.1%	No
SLIT2		6	6	723	0.8%	No
PLA2R1		1	1	1049	<0.1%	No
CUBN		3	3	1049	0.3%	No
STAM		1	1	1049	<0.1%	No
ZNF687		1	1	1049	<0.1%	No
AFG3L2		1	1	1049	<0.1%	No
EBF4		1	1	1049	<0.1%	No
HOMEZ		1	1	1049	<0.1%	No
ATAD3B		1	1	1049	<0.1%	No
SLC44A5		1	1	1049	<0.1%	No
CPXM1		1	1	1049	<0.1%	No
SF3A3		1	1	1049	<0.1%	No
RSPH3		1	1	1049	<0.1%	No
HMCN2		1	1	1049	<0.1%	No
BRD3		1	1	1049	<0.1%	Yes
TAF3		1	1	1049	<0.1%	No
EMILIN3		1	1	1049	<0.1%	No
SLC9A3R1		1	1	1049	<0.1%	No
OR8B8		2	2	1049	0.2%	No
CAPN12		1	1	1049	<0.1%	No
PAPOLA		1	1	1049	<0.1%	No
EDAR		1	1	1049	<0.1%	No
TAGAP		1	1	1049	<0.1%	No
KCTD10		1	1	1049	<0.1%	No
OR10A2		2	2	1049	0.2%	No
RASSF7		1	1	1049	<0.1%	No
BTBD3		1	1	1049	<0.1%	No
GLI1		12	12	796	1.5%	Yes
TTLL2		1	1	1049	<0.1%	No
WDR87		2	2	1049	0.2%	No
SLC25A2		2	1	1049	<0.1%	No
PARD3		1	1	1049	<0.1%	No
PLD4		1	1	1049	<0.1%	No
MIXL1		1	1	1049	<0.1%	No
CRY1		1	1	1049	<0.1%	No
GLI4		1	1	1049	<0.1%	No
OTOF		2	2	1049	0.2%	No
CRYBB1		1	1	1049	<0.1%	No
CMYA5		1	1	1049	<0.1%	No
GPBP1L1		1	1	1049	<0.1%	No
CAPN8		1	1	1049	<0.1%	No
OR10J1		1	1	1049	<0.1%	No
TMED5		1	1	1049	<0.1%	No
NALCN		1	1	1049	<0.1%	No
LRRC3C		1	1	1049	<0.1%	No
HS6ST1		1	1	1049	<0.1%	No
PLEKHA2		1	1	1049	<0.1%	No
RUNDC3A		1	1	1049	<0.1%	No
BRD8		2	2	1049	0.2%	No
KRT27		1	1	1049	<0.1%	No
ALOXE3		1	1	1049	<0.1%	No
UFSP1		2	2	1049	0.2%	No
FGF23		1	1	900	0.1%	Yes
CSF1R		15	15	998	1.5%	Yes
GNA11		5	5	1021	0.5%	Yes
KLHL12		1	1	1049	<0.1%	No
RNASE8		1	1	1049	<0.1%	No
GNB4		1	1	1049	<0.1%	No
CSF2RB		1	1	1049	<0.1%	No
FAM182B		3	3	1049	0.3%	No
LHX6		2	2	1049	0.2%	No
TRABD2A		1	1	1049	<0.1%	No
NPIPB11		1	1	1049	<0.1%	No
KMT2D		135	111	998	11.1%	Yes
MAST4		1	1	1049	<0.1%	No
GNAS		21	20	1021	2.0%	Yes
CSK		1	1	1049	<0.1%	No
GNAQ		1	1	1021	<0.1%	Yes
CSF3R		1	1	266	0.4%	Yes
PLEKHH2		1	1	1049	<0.1%	No
RBMXL3		1	1	1049	<0.1%	No
VCAN		2	2	1049	0.2%	No
NECTIN2		2	2	1049	0.2%	No
FOXP1		7	7	824	0.8%	Yes
CSNK1E		1	1	1049	<0.1%	No
ADAMTS15		1	1	1049	<0.1%	No
GNB2		1	1	1049	<0.1%	No
TDRD12		2	2	1049	0.2%	No
PURB		2	2	1049	0.2%	No
OTUD7A		1	1	1049	<0.1%	No
ATP11C		2	2	1049	0.2%	No
PLIN4		2	2	1049	0.2%	No
WDFY2		1	1	1049	<0.1%	No
DOCK11		1	1	1049	<0.1%	No
CSPG4		1	1	1049	<0.1%	No
PAQR9		1	1	1049	<0.1%	No
ALDH1L2		2	1	1049	<0.1%	No
RALGPS2		1	1	1049	<0.1%	No
ZNF160		1	1	1049	<0.1%	No
ANO1		1	1	1049	<0.1%	No
NLRP12		1	1	1049	<0.1%	No
GOLGA8O		1	1	1049	<0.1%	No
CTNNA1		4	4	900	0.4%	Yes
ANKRD29		1	1	1049	<0.1%	No
XKR8		1	1	1049	<0.1%	No
CTBP2		4	3	1049	0.3%	No
TMEM39B		1	1	1049	<0.1%	No
ADAMTS16		2	2	1049	0.2%	No
THAP3		1	1	1049	<0.1%	No
ADAMTS18		1	1	1049	<0.1%	No
RBM26		1	1	1049	<0.1%	No
FANCL		12	12	900	1.3%	Yes
PELP1		1	1	1049	<0.1%	No
SND1		1	1	1049	<0.1%	Yes
UTP25		1	1	1049	<0.1%	No
C19ORF47		1	1	1049	<0.1%	No
CTNNB1		19	18	1049	1.7%	Yes
HEATR1		1	1	1049	<0.1%	No
NUDT1		1	1	723	0.1%	No
MTHFD1		3	3	1049	0.3%	No
VPS13B		1	1	1049	<0.1%	No
CDH23		2	2	1049	0.2%	No
MACIR		1	1	1049	<0.1%	No
KLHL17		1	1	1049	<0.1%	No
HOXB1		1	1	1049	<0.1%	No
PRSS57		1	1	1049	<0.1%	No
BCL6		6	6	1021	0.6%	Yes
TMEM26		1	1	1049	<0.1%	No
NAP1L5		1	1	1049	<0.1%	No
CABCOCO1		1	1	1049	<0.1%	No
RAD17		1	1	1049	<0.1%	No
HOXC5		1	1	1049	<0.1%	No
OR2T2		2	2	1049	0.2%	No
EIF4ENIF1		1	1	1049	<0.1%	No
HJV		1	1	1049	<0.1%	No
HOXB3		1	1	1049	<0.1%	No
UBR7		1	1	1049	<0.1%	No
BCR		1	1	900	0.1%	Yes
MTNR1B		1	1	1049	<0.1%	No
CCNA1		1	1	1049	<0.1%	No
MTTP		2	2	1049	0.2%	No
RAC1		2	2	821	0.2%	Yes
SDK1		2	2	1049	0.2%	No
RAD51B		2	2	995	0.2%	Yes
RAD51D		3	3	995	0.3%	Yes
RAD52		5	5	995	0.5%	Yes
RAF1		4	4	1021	0.4%	Yes
FOXK1		1	1	1049	<0.1%	No
TAF1D		1	1	1049	<0.1%	No
BDKRB2		1	1	1049	<0.1%	No
CACNA1H		4	4	1049	0.4%	No
CACNA1G		4	3	1049	0.3%	No
MAPKAP1		1	1	209	0.5%	Yes
RAD51		2	2	998	0.2%	Yes
CACNA1I		1	1	1049	<0.1%	No
RAD51C		1	1	995	0.1%	Yes
CHST5		2	2	1049	0.2%	No
PHOX2B		1	1	291	0.3%	Yes
TNIP3		1	1	1049	<0.1%	No
HOXD8		2	2	1049	0.2%	No
RAG1		1	1	1049	<0.1%	No
BICD1		1	1	1049	<0.1%	No
HERC2		5	5	1049	0.5%	No
COQ8B		2	2	1049	0.2%	No
RALA		1	1	1049	<0.1%	No
RIPOR3		3	3	1049	0.3%	No
PRDM1		8	8	998	0.8%	Yes
BSN		1	1	1049	<0.1%	No
CADM2		1	1	1049	<0.1%	No
HERC1		1	1	1049	<0.1%	No
VCX		1	1	1049	<0.1%	No
RASEF		1	1	1049	<0.1%	No
DAGLB		1	1	1049	<0.1%	No
MUC2		23	10	1049	1.0%	No
CDK5R2		1	1	1049	<0.1%	No
FAM133A		1	1	1049	<0.1%	No
MUC4		4	4	1049	0.4%	No
TOP3B		1	1	1049	<0.1%	No
LVRN		1	1	1049	<0.1%	No
AIFM3		2	2	1049	0.2%	No
BLM		20	19	998	1.9%	Yes
HPN		1	1	1049	<0.1%	No
SKAP2		1	1	1049	<0.1%	No
PABPC5		1	1	1049	<0.1%	No
ZFC3H1		1	1	1049	<0.1%	No
SPEF2		1	1	1049	<0.1%	No
BAIAP3		1	1	1049	<0.1%	No
UNC80		2	2	1049	0.2%	No
MUTYH		20	19	1021	1.9%	Yes
HRAS		14	14	1021	1.4%	Yes
MAPK8IP2		1	1	1049	<0.1%	No
RBFOX2		1	1	1049	<0.1%	No
THSD7A		2	2	1049	0.2%	No
SEZ6L		2	2	1049	0.2%	No
ATP6V0A2		1	1	1049	<0.1%	No
LILRA4		1	1	1049	<0.1%	No
BMP5		2	2	1049	0.2%	No
BMPR1A		2	2	821	0.2%	Yes
MUC6		2	2	1049	0.2%	No
BMPR2		1	1	1049	<0.1%	No
LRRC23		1	1	1049	<0.1%	No
DENND1C		1	1	1049	<0.1%	No
HRC		1	1	1049	<0.1%	No
GOLGA8R		1	1	1049	<0.1%	No
BCL11A		1	1	196	0.5%	Yes
RSBN1		1	1	1049	<0.1%	No
DST		1	1	1049	<0.1%	No
PSD4		1	1	1049	<0.1%	No
FOXL2		4	4	998	0.4%	Yes
OR2T6		1	1	1049	<0.1%	No
ZNF75A		1	1	1049	<0.1%	No
ATXN2		1	1	1049	<0.1%	Yes
C8ORF34		1	1	1049	<0.1%	No
HSD3B2		1	1	1049	<0.1%	No
HSD3B1		3	3	723	0.4%	Yes
BRCA1		30	25	1021	2.4%	Yes
PRG4		1	1	1049	<0.1%	No
BRAF		12	12	1021	1.2%	Yes
NCKAP5L		2	2	1049	0.2%	No
BRCA2		65	64	1049	6.1%	Yes
CPED1		1	1	1049	<0.1%	No
ZFP36L1		3	3	1049	0.3%	Yes
NUDT9		1	1	1049	<0.1%	No
H3C7		1	1	263	0.4%	Yes
UBASH3A		1	1	1049	<0.1%	No
WDFY4		1	1	1049	<0.1%	No
SSX3		1	1	1049	<0.1%	No
HSD17B2		1	1	1049	<0.1%	No
TNPO3		3	2	1049	0.2%	No
ADAT1		1	1	1049	<0.1%	No
JADE1		2	2	1049	0.2%	No
INSYN2A		1	1	1049	<0.1%	No
LRP1B		58	52	923	5.6%	Yes
KLF5		3	3	1049	0.3%	Yes
WASL		1	1	1049	<0.1%	No
SEMA4G		1	1	1049	<0.1%	No
PRX		1	1	1049	<0.1%	No
PCDHB16		1	1	1049	<0.1%	No
RIMBP2		2	2	1049	0.2%	No
PGLYRP1		2	1	1049	<0.1%	No
SCN5A		1	1	1049	<0.1%	No
ZNF572		2	2	1049	0.2%	No
SLC22A18		1	1	1049	<0.1%	No
APCDD1		6	6	897	0.7%	No
DAAM2		1	1	1049	<0.1%	No
ZFYVE26		1	1	1049	<0.1%	No
PLEKHH3		1	1	1049	<0.1%	No
BTK		1	1	998	0.1%	Yes
EPG5		1	1	1049	<0.1%	No
POU5F2		1	1	1049	<0.1%	No
SCN4A		1	1	1049	<0.1%	No
HSD17B13		2	2	1049	0.2%	No
MTREX		1	1	1049	<0.1%	No
R3HDM1		1	1	1049	<0.1%	No
OTX2		2	1	1049	<0.1%	No
NUP188		1	1	1049	<0.1%	No
VWA3A		1	1	1049	<0.1%	No
FRMD1		1	1	1049	<0.1%	No
SPTBN4		2	2	1049	0.2%	No
SVEP1		2	2	1049	0.2%	No
ORM2		1	1	1049	<0.1%	No
SCN10A		1	1	1049	<0.1%	No
MPHOSPH6		2	2	1049	0.2%	No
DHRS2		1	1	1049	<0.1%	No
DIS3L2		1	1	1049	<0.1%	No
CARD14		3	2	1049	0.2%	No
CHAC1		2	2	1049	0.2%	No
ZNF513		1	1	1049	<0.1%	No
PARD3B		2	2	1049	0.2%	No
DOT1L		24	22	1021	2.2%	Yes
OVOL1		1	1	1049	<0.1%	No
OXCT1		1	1	1049	<0.1%	No
PORCN		1	1	1049	<0.1%	No
SMIM7		1	1	1049	<0.1%	No
ZNF132		1	1	1049	<0.1%	No
FBXL17		1	1	1049	<0.1%	No
CARD11		7	7	1021	0.7%	Yes
PHF7		1	1	1049	<0.1%	No
CCDC15		1	1	1049	<0.1%	No
P2RY2		2	2	1049	0.2%	No
ADAMTS20		1	1	1049	<0.1%	No
KIF18B		1	1	1049	<0.1%	No
TXNDC9		1	1	1049	<0.1%	No
PABPC3		3	2	1049	0.2%	No
TSHZ1		1	1	1049	<0.1%	No
RECQL4		1	1	291	0.3%	Yes
VWA1		1	1	1049	<0.1%	No
OR10G2		1	1	1049	<0.1%	No
OR10H2		1	1	1049	<0.1%	No
C1QTNF9B		1	1	1049	<0.1%	No
FBN3		5	4	1049	0.4%	No
MEGF10		1	1	1049	<0.1%	No
MPHOSPH9		1	1	1049	<0.1%	No
HPSE2		1	1	1049	<0.1%	No
SIRT6		2	2	1049	0.2%	No
KMT2E		1	1	1049	<0.1%	No
ZMAT1		1	1	1049	<0.1%	No
SDHA		11	10	824	1.2%	Yes
PRRC1		1	1	1049	<0.1%	No
FSIP2		3	3	1049	0.3%	No
DNAH10		1	1	1049	<0.1%	No
ERBIN		1	1	1049	<0.1%	No
PAK3		2	2	923	0.2%	Yes
CYP7B1		2	2	1049	0.2%	No
SDHC		4	4	824	0.5%	Yes
SDHB		1	1	824	0.1%	Yes
SDHD		3	3	824	0.4%	Yes
LRRC43		2	1	1049	<0.1%	No
GDF7		1	1	1049	<0.1%	No
UBN2		1	1	1049	<0.1%	No
DDX23		1	1	1049	<0.1%	No
PAX2		1	1	1049	<0.1%	No
PAX5		3	3	1021	0.3%	Yes
FNIP1		1	1	1049	<0.1%	No
LATS2		1	1	291	0.3%	Yes
MACF1		1	1	1049	<0.1%	No
PRKN		8	8	821	1.0%	Yes
ABCG2		1	1	920	0.1%	No
ECEL1		1	1	1049	<0.1%	No
TNK2		1	1	1049	<0.1%	No
QKI		2	2	723	0.3%	Yes
MED26		1	1	1049	<0.1%	No
MAP4K4		1	1	1049	<0.1%	No
ITM2B		2	2	1049	0.2%	No
TCL1A		1	1	196	0.5%	Yes
PAX6		1	1	1049	<0.1%	No
PAX9		1	1	1049	<0.1%	No
STK32C		1	1	1049	<0.1%	No
MICU2		1	1	1049	<0.1%	No
PCF11		1	1	1049	<0.1%	No
GOT1		1	1	1049	<0.1%	No
GOLGA4		1	1	1049	<0.1%	No
INO80		1	1	1049	<0.1%	No
GOLGA3		1	1	1049	<0.1%	No
FLACC1		1	1	1049	<0.1%	No
PCDHGC3		1	1	1049	<0.1%	No
GGPS1		1	1	1049	<0.1%	No
COL6A6		2	2	1049	0.2%	No
BRD4		14	13	824	1.6%	Yes
PC		2	2	196	1.0%	Yes
IQCF3		1	1	1049	<0.1%	No
CNNM4		1	1	1049	<0.1%	No
EIF2AK3		1	1	1049	<0.1%	No
PCCA		1	1	1049	<0.1%	No
TRIM33		1	1	1049	<0.1%	Yes
CUTA		1	1	1049	<0.1%	No
NUP85		1	1	1049	<0.1%	No
SLC16A14		1	1	1049	<0.1%	No
MAP10		2	2	1049	0.2%	No
SMIM43		1	1	1049	<0.1%	No
EFCAB12		1	1	1049	<0.1%	No
KREMEN1		1	1	1049	<0.1%	No
GID4		5	5	900	0.6%	Yes
BRIP1		16	16	998	1.6%	Yes
CTTNBP2		1	1	1049	<0.1%	No
NBPF10		3	3	1049	0.3%	No
GPM6B		1	1	1049	<0.1%	No
NAPSA		1	1	1049	<0.1%	No
KIF7		1	1	1049	<0.1%	No
ADGRG3		1	1	1049	<0.1%	No
NRDE2		2	2	1049	0.2%	No
PRLHR		1	1	1049	<0.1%	No
CTNND2		1	1	1049	<0.1%	No
ZWILCH		1	1	1049	<0.1%	No
PHLDB3		1	1	1049	<0.1%	No
CDH20		7	7	746	0.9%	No
